internalId,tmdbId,name,originCountry
32330,414,Fountainbridge Films,
32331,415,Laurence Mark Productions,US
268413,416,Python (Monty) Pictures Limited,
32424,417,Australian Film Commission,AU
32425,418,New South Wales Film & Television Office,AU
142649,419,Embassy Pictures Corporation,US
24685,420,Marvel Studios,US
141101,421,Amen Ra Films,US
1418521,422,Sirius Pictures,
160583,423,Phantom Four,US
45937,424,Babelsberg Film,DE
2903,429,DC Comics,US
24817,430,Lonely Film Productions GmbH & Co. KG.,DE
24818,431,The Donners' Company,US
24819,432,Batfilm Productions,US
24820,433,Weed Road Pictures,US
54619,435,Di Bonaventura Pictures,US
30728,436,1492 Pictures,US
30729,437,Heyday Films,GB
176324,438,Mercury,
306490,440,Kinoproduction,FI
32730,443,Big Talk Productions,GB
17820,444,Dune Entertainment,US
17821,445,Major Studio Partners,US
148963,446,thinkfilm,US
1048,447,TV 1000 Sverige,SE
1003379,448,Key Films,
22427,449,Virtual Studios,US
32797,450,Anarchos Productions,
3363,451,Medienboard Berlin-Brandenburg,DE
33038,455,Permut Presentations,US
33039,456,WCG Entertainment Productions,
130363,457,Constellation Films,
33040,458,Douglas/Reuther Productions,
31108,462,Patalex IV Productions Limited,
280741,463,Michael White Productions,GB
205183,464,National Film Trustee Company,GB
33197,466,Avalon/NFU Studios,
33219,467,Renaissance Pictures,US
231296,468,AAA Production,FR
32680,469,Hemdale Film Corporation,
32681,470,Recorded Pictures Company,
32682,472,Soprofilms,
32683,473,TAO Film,
32684,474,Yanco,
97543,475,JD Productions,
33364,476,Underworld Entertainment,
33577,477,Hughes Entertainment,US
134428,480,Tobis,DE
332229,483,Praesens-Film AG,CH
34774,484,DEG,US
34246,485,Vinyl Films,US
150760,486,Portobello Pictures,GB
65490,487,Česká televize,CZ
513621,489,Dutch Oven,
39816,490,New Regency Productions,US
4377,491,Summit Entertainment,US
34502,492,Blue Wolf Productions,
33277,493,Introvision International,
34608,494,AVCO Embassy Pictures,US
34609,495,EDI,
61124,496,David Foster Productions,
34655,497,Revolution Studios,US
34610,498,Debra Hill Productions,
54581,499,De Laurentiis Entertainment Group,
29488,500,Goldcrest,GB
33998,501,Indo-British,
29489,502,International Film Investors,
572517,504,Carolina Bank,
34875,505,Cruel Productions,
4378,506,Newmarket Capital Group,US
2977,507,Atlas Entertainment,US
13085,508,Regency Enterprises,US
728374,513,Cosmo Film,DK
86311,514,Silver Screen Partners,
653460,516,Seven Arts Productions,US
239556,519,11:11 Mediaworks,
35113,520,Pacific Data Images,US
23472,521,DreamWorks Animation,US
36233,525,Ixtlan Productions,US
16926,528,Bandai Visual,JP
45273,529,Production I.G,JP
36493,532,Morpheus,
296012,533,Janus Films,US
72258,538,EMI Films,GB
58542,539,Block 2 Pictures,HK
58543,540,Jet Tone Production,HK
36697,541,Famous Players,
36698,542,Guardian Trust Company,
36699,543,Filmplan International II,
299370,544,De Laurentiis,
36970,545,Ten Thirteen Productions,
36781,546,Monsoon Pictures,AU
36782,547,Open City Films,US
37258,550,Little Bird,IE
37259,551,Mandalay Pictures,US
37422,552,Dark Horse Entertainment,US
37163,553,Barclays Mercantile Industrial Finance,
34928,554,Silver Screen Partners III,
166022,556,Sherwood,
471694,557,The Leonard Goldberg Company,
5807,558,Lisberger/Kushner Productions,
9646,559,TriStar Pictures,US
36783,561,Anhelo Productions,
36784,562,Appian Way,US
868668,565,UK Film & TV Production Company,
16927,567,Office Kitano,JP
16928,569,Tokyo FM,JP
1061375,571,Highland Films,
39209,572,New Amsterdam Entertainment,
14853,574,Lightstorm Entertainment,US
268485,575,Bergen Film,
175816,576,Bard Entertainments,
38694,579,Alliance Communications,
305543,581,UGC,FR
136555,582,Hachette Première,FR
453462,585,UFA Filmproduktion GmbH,
96715,587,ARTE,DE
393713,588,MDR,DE
1049,591,France 3 Cinéma,FR
35908,594,Capella International,
35909,595,Eric's Boy,
129061,596,KC Medien AG,
38814,597,Irish Dreamtime,
4379,598,Team Todd,
84280,599,Solar Productions,
38900,601,Blake Edwards Entertainment,
394352,602,DEFA,DE
35809,606,American Werewolf Inc.,
35810,607,Lyncanthrope Films,
189108,608,Dor Film Production Company,AT
151133,609,Iduna Film Produktiongesellschaft,
97637,611,Bryna Productions,US
133287,614,Vanguard Films,
492827,616,Eskwad,FR
40570,617,Brooksfilms Ltd.,
40946,620,Centropolis Film Productions,
484699,623,MC Productions,
598578,626,Independent Productions,
895667,628,Alpine Productions,
144938,630,IPC Films,
169620,632,British Lion Films,GB
1284222,633,Metro Productions,
45755,634,ABC Pictures,
18953,635,Les Films Alain Sarde,FR
40641,636,Babbo Inc.,
18954,637,The Picture Factory,
668250,639,DR TV,DK
691540,641,Titanus,IT
13086,644,Alcor Films,
256294,647,Sony Music Entertainment Visual Works Inc.,
358901,648,Sony Music Entertainment (Japan),JP
40781,651,Breathless Associates,
40782,652,Miko Productions,
40900,654,South Pacific Pictures,NZ
39210,655,Strike Entertainment,
39211,657,TOHO-TOWA,JP
458993,659,London Films Productions,GB
41001,662,Turman-Foster Company,
39196,663,12 Gauge Productions,
166305,664,City Film,US
82036,666,Newmarket Productions,
41333,667,IFMD Ltd.,
41334,668,T.H.E. Films,
660402,669,Reposado Producciones,
87236,670,Walt Disney Television,US
4574,675,Forward Pass,US
34806,676,Monarchy Enterprises B.V.,
35883,677,Animal Farm Productions Ltd.,GB
35884,678,Turner Network Television,US
41613,679,Timnick Films,
186210,680,Studio Hamburg Filmproduktion,
794409,681,Dom Film GmbH,
17822,682,Peninsula Films,FR
691030,685,Cineclick Asia,KR
3701,686,Tiger Aspect Productions,GB
43471,688,Rankin/Bass Productions,US
43419,689,Ventanarosa Productions,
43420,690,Handprint Entertainment,
43485,691,Cappa Productions,US
57016,692,Sogecine,ES
3702,694,StudioCanal,FR
43500,695,Lee Daniels Entertainment,US
41717,696,Rogue Marble,
44056,697,Alta Films S.A.,ES
44356,698,Scottish Screen,
44057,699,TTornasol Films S.A.,
43920,700,Kanzaman S.A.,
129123,701,Meespierson Film CV,
54342,702,3L Filmproduktion GmbH,
3364,703,Razor Film Produktion,DE
43776,705,Spring Creek Productions,US
100629,706,Sputnik,FI
41107,707,Matador Pictures,
313062,708,Beijing Film Studio,CN
3468,711,Fox 2000 Pictures,US
45122,714,3L Filmverleih,
849352,715,Bona Fide,
45037,716,Standard Film Company,US
155149,717,Eternity Pictures,
3703,718,Arts Council of England,GB
45254,719,Film Foundry Partners,
53239,720,Goldwyn Films,
45255,721,Zenith Entertainment,GB
184400,726,Haut et Court,FR
46919,728,Kalkaska Productions,
53324,729,Why Not Productions,FR
93800,730,Flying Moon Filmproduktion GmbH,DE
270090,732,Mate Producciones S.A.,
31981,734,Producers Circle,
48257,735,Waverly Films,US
48690,737,Sidney Kimmel Entertainment,US
120599,738,Myriad Pictures,US
48691,739,Anomaly Entertainment,
48791,741,Emotion Pictures,
48792,742,Reverse Angle International,
41108,744,Diaphana Films,FR
71512,746,MTV Films,US
75910,748,Mosaic Media Group,US
52975,749,Christal Films,CA
237491,750,Ellepi Films,
876357,751,Nouvelles Éditions de Films,
44713,753,Nouvelles Éditions de Films (NEF),
972317,755,Alexandra Films,
53495,757,Embassy Films Associates,US
251902,758,TV 2,DK
90174,760,Les Productions Bagheera,FR
50882,761,Cinehaus,US
16748,762,Mutual Film Company,
9122,763,Intermedia Films,GB
54343,764,Polaris Film Productions,FR
54344,765,Tempête Sous Un Crâne Productions,FR
9893,766,Blue Tulip Productions,
620641,767,Atchity Entertainment International,
20595,768,Ghost House Pictures,US
23812,769,Destination Films,US
53305,770,Kingsgate Films,
42314,771,Mandate Pictures,US
722290,772,Banana Films,BE
54951,773,Film Afrika Worldwide,ZA
55098,774,Valkyrie Films,
55381,775,Korty Films,
1363947,777,Future Film Group,
57017,778,Las Producciones del Escorpion,ES
71430,779,Lucky Red,IT
46372,780,Red Wagon Productions,
224511,784,Himenóptero,ES
47048,785,Sociedad General de Cine S.A.,
440988,786,Bizibi,FR
24821,787,3 Arts Entertainment,US
56423,788,Bel Air Entertainment,US
56450,789,Pallas Film,DE
56451,790,Samsa Film,LU
56452,791,Ipso Facto Productions,GB
56453,792,RTBF,BE
56604,793,Galatée Films,FR
43250,794,Agi Orsi Productions,US
276132,795,Vans Off the Wall,
244243,796,Pan Européenne Production,
15320,798,Samuel Goldwyn Company,US
57152,802,Egg Pictures,
28487,803,Alliance Atlantis,CA
57180,804,Natural Nylon Entertainment,
57181,805,Serendipity Point Films,CA
20096,806,Téléfilm Canada,CA
56390,808,The Movie Network,CA
57182,809,Union Générale Cinématographique,
57206,810,Persistent Entertainment,
837015,811,Universum Film,DE
57401,812,Deuce Three Productions,
16321,813,Di Novi Pictures,US
10686,816,FilmEngine,
57484,817,Katalyst Films,
284222,819,Mars Films,FR
57749,820,Tapson Steel Films Productions,
49173,821,The Greenlight Fund,
923113,822,Happinet Pictures,JP
325149,823,Telepool,DE
53418,824,Kopelson Entertainment,
10687,826,Capitol Films,GB
54024,827,VIP Medienfonds 3,DE
58148,828,Ultra Films,
44615,829,Vertigo Entertainment,US
15347,830,Senator International,
52370,831,Saturn Films,US
58346,832,Bradahood Productions,
58347,833,Garage Industries,
58354,834,Potboiler Productions,GB
194647,835,Scion Films Limited,
92903,836,Elzévir Films,FR
783339,837,Oï  Oï  Oï Productions,
41373,838,Paramount Vantage,US
58544,839,Lou Yi,FR
6313,840,Lawrence Gordon Productions,US
46663,841,Pathé Entertainment,US
58863,842,GreeneStreet/SKE Films,
324971,843,Werner Herzog Filmproduktion,DE
58877,846,2929 Productions,US
3365,850,Eurimages,FR
44714,851,MEDIA Programme of the European Union,BE
119429,854,Sofica EuropaCorp,FR
78420,856,Wild Bunch,FR
270309,858,Tessalit Productions,FR
90175,859,Saga Film,BE
95821,860,Celluloid Dreams,FR
12417,862,The Kennedy/Marshall Company,US
1060651,863,Mantarraya Producciones,MX
258263,865,Motel Films,
41432,866,Pathé Renn Productions,FR
49261,867,Anka Film,
59077,869,Dee Gee Entertainment,
59078,870,Tapestry Films,US
186047,871,British Screen,GB
59180,872,George Street Pictures,
59181,873,The Lloyd Segan Company,
80362,874,Cinéa,
301401,875,Films A2,FR
250232,876,Sara Films,FR
52158,877,Casey Silver Productions,
53893,878,Happy Madison Productions,US
59220,879,Out of the Blue... Entertainment,
272647,880,Daiei Film,JP
39484,882,Toho,JP
330216,884,TPS Cinéma,
145406,885,Téléma Productions,
59631,887,Neo Productions,
59632,888,Overseas FilmGroup,US
44487,889,Outlaw Productions,US
47212,890,Cheyenne Enterprises,
48953,892,Qwerty Films,GB
