endNodeInternalId,startNodeInternalId
1151,9892
612,10404
2298,10404
182,10404
1151,10404
1300,10462
50,10462
612,10462
47,10462
49,10514
182,10514
612,10514
612,10684
182,10684
49,10684
1151,10684
182,10878
181,10878
49,10878
49,11063
181,11063
182,11063
612,11147
182,11147
1151,11147
1302,11240
181,11240
1300,11240
182,11240
1300,11326
50,11326
1302,11326
181,11408
612,11408
7088,11408
2298,11408
1302,11651
181,11651
1300,11651
182,11651
1302,11772
181,11772
1300,11772
182,11772
1302,11940
181,11940
1300,11940
182,11940
612,12060
7088,12060
2298,12060
612,12148
612,12159
1150,12246
182,12246
49,12246
1150,12325
1300,12416
181,12416
181,12507
182,12507
1302,12507
49,12620
612,12620
49,12685
612,12685
612,12718
182,12718
181,12788
49,12788
612,12788
49,12861
612,12861
50,12949
612,12949
613,12949
612,13059
182,13059
49,13059
613,13059
49,13084
182,13084
612,13084
49,13162
612,13162
182,13162
50,13293
612,13293
613,13293
2479,13293
612,13380
50,13380
613,13380
50,13426
612,13426
1301,13507
612,13507
182,13507
1151,13507
613,13507
1300,13576
612,13576
181,13576
49,13763
612,13763
47,13763
612,13815
50,13815
1301,13922
181,13922
49,13922
181,14042
49,14042
612,14042
49,14294
612,14294
182,14294
49,14429
612,14429
182,14429
1301,14464
181,14464
182,14464
612,14611
49,14611
7088,14762
2479,14762
612,14762
181,14852
182,14852
1302,14852
49,15005
612,15005
1302,15005
182,15005
1300,15103
1301,15103
181,15103
50,15132
613,15132
50,15178
612,15178
182,15178
1151,15178
215,15211
50,15233
215,15233
2479,15233
612,15260
47,15260
612,15319
613,15319
181,15346
182,15346
1302,15346
1301,15550
612,15550
613,15550
49,15621
182,15621
49,15704
182,15704
181,15737
50,15737
49,15737
50,15870
612,15870
1151,15870
613,15870
1301,15899
50,15899
612,16094
49,16094
613,16291
612,16291
181,16320
1301,16320
1151,16320
49,16320
612,16531
182,16531
181,16554
49,16554
613,16554
49,16621
1151,16621
182,16621
50,16673
613,16673
182,16705
49,16705
612,16705
1151,16705
181,16747
49,16747
182,16747
1150,16747
49,16925
612,16925
182,16925
1300,17004
1302,17004
1300,17106
181,17106
1302,17106
1300,17235
181,17235
182,17235
1302,17235
181,17364
1300,17364
50,17364
47,17364
50,17446
612,17446
2479,17446
613,17446
612,17476
50,17579
612,17579
50,17626
612,17626
49,17662
612,17692
182,17692
1151,17692
50,17819
612,17819
613,17819
181,17916
1301,17916
1150,17957
50,18030
49,18030
612,18090
182,18090
49,18090
612,18130
612,18184
49,18197
612,18197
182,18197
612,18346
2479,18346
50,18370
612,18370
613,18370
181,18414
49,18414
182,18414
1300,18461
1302,18461
181,18461
1150,18461
50,18639
613,18639
49,18653
612,18653
612,18691
49,18691
50,18750
612,18750
613,18750
182,18800
1151,18800
612,18909
612,18951
612,18995
613,18995
2298,18995
1300,19068
47,19068
1301,19068
181,19246
49,19246
1301,19246
1302,19373
181,19373
50,19373
1300,19517
50,19517
612,19517
612,19683
2298,19683
612,19797
7088,19797
2298,19797
225,19954
50,19954
47,19954
1300,19954
182,20095
1302,20095
1151,20095
181,20200
1300,20200
1302,20200
182,20200
182,20594
1302,20594
1151,20594
1151,20685
1302,20685
182,20685
1301,20795
181,20795
1302,20795
182,20795
1150,20795
612,21011
